PARK,Fields,Club,Location address 1,Alternative address #2,,,Location Map,Field Map,,,,
Brandybrooks Soccer Fields,,FC Strike / SWC Titletown Elite ,"S11W29980 Summit Ave, Waukesha, WI 53188",,,,,,,,,
Brickyards,,Pegasus FC Premier SC (IL),"375 Elm St,Deerfield, IL 60015",,,,,,,,,
Bridgeview Sports Fields,,,,,,,,,,,,
Broadview Soccer Complex,,,"2800 E River,",Allouez,WI,54301,"https://www.google.com/maps/dir//2800+E+River+Dr,+Allouez,+WI+54301/@44.4641105,-88.0195235,731m/data=!3m1!1e3!4m9!4m8!1m0!1m5!1m1!1s0x8802fb5165640163:0xd525debaf3fb44a!2m2!1d-88.0173295!2d44.4641067!3e0",,,,,
BROADVIEW SOCCER COMPLEX,Broadview Soccer Complex,"2800 E River, Allouez, WI 54301","2800 E River, Allouez, WI 54301",WI,,,54301,�,,,,
Brockmeyer Park,,MC United,"4200 Stettin Dr, Wausau, WI 54401",,,,,,,,,
Brookfield East HS,,Elmbrook SC,"3305 N Lilly Rd, Brookfield, WI 53005",,,,,,,,,
Brookfield Indoor Soccer Complex,( MWSOC),,"19485 Lisbon Rd,",Brookfield,WI,53045,"https://www.google.com/maps/dir//midwest+orthopedic+sports+complex/@43.204087,-88.2611823,11z/data=!4m8!4m7!1m0!1m5!1m1!1s0x8805aa7173c5ff55:0x469b97774858c7da!2m2!1d-88.1539925!2d43.1036926",,,,,
Brookfield Soccer Complex (BSC),,SC Wave,"W212N4933 Weyer Rd, ",Menomonee Falls,WI,53041,"https://www.google.com/maps/dir//W212N4933+Weyer+Rd,+Menomonee+Falls,+WI+53051/@43.1074951,-88.1785581,17z/data=!4m9!4m8!1m0!1m5!1m1!1s0x8805aa718e0f65eb:0xdf7dc1859c0c11ae!2m2!1d-88.1763694!2d43.1074951!3e0",,,,,
Bryan Park SC,#08,,"6105 Townsend Rd, Browns Summit, NC 27214",#08,,,,,,,,
Bushnell Park,,,,,,,"https://www.google.com/maps/dir//Bushnell+County+Park,+32100+Bushnell+Rd,+Burlington,+WI+53105/@42.9867574,-88.5501066,10z/data=!4m9!4m8!1m0!1m5!1m1!1s0x8805849440999995:0xb90d6d15f6325455!2m2!1d-88.2625607!2d42.6715166!3e0?entry=ttu",,,,,
Calavera Springs Park,Field #1,HFC (Howard Fire FC),"2694 Flintville Rd, Suamico, WI 54313",,,,,,,,,
CALAVERA SPRINGS PARK,Calavera Springs Park,2694 Flintville Rd,"2694 Flintville Rd, Suamico, WI 54313",WI,,,54313,�,,,,
Calhoun Park,,SC Wave New Berlin,"5400 S. Calhoun Rd., ",New Berlin,WI,53151,"https://www.google.com/maps/dir//Calhoun+Park,+5400+S+Calhoun+Rd,+New+Berlin,+WI+53151/@42.9472509,-88.1298701,17z/data=!4m9!4m8!1m0!1m5!1m1!1s0x8805090ad013bff3:0x7924b6abbff605f6!2m2!1d-88.1276761!2d42.947247!3e0",,,,,
Capital Credit Union Park,,,"2231 Holmgren Way, ",Ashwaubenon,WI,54304,"https://www.google.com/maps/dir//Green+Bay+Booyah+Baseball,+2231+Holmgren+Way,+Green+Bay,+WI+54304/@44.4903839,-88.0585033,15z/data=!4m9!4m8!1m0!1m5!1m1!1s0x8802fb782b0bbd93:0xa93ef18f101f8b35!2m2!1d-88.058103!2d44.489436!3e0",,,,,
Carriage Hill Estates,,Sun Prairie SC,540 N. Musket Ridge Dr,Sun Prairie,WI,53590,"https://www.google.com/maps/dir/''/carriage+hills+estates+park/@43.1840222,-89.2684211,12z/data=!4m8!4m7!1m0!1m5!1m1!1s0x8806f63bc6e93d91:0xc5ab98ae67da2ce6!2m2!1d-89.1983813!2d43.1840436",,http://www.sunprairiesoccer.com/our-fields.html,,,
Carroll University,Schneider Field,,"N Barstow St, Waukesha, WI 53186",,,,Schneider Field,,,,,
Casper Park,Field #01,SC Wave NB,Field use.,,,,,,,,,
Central Middle School,Stadium  ,MN Select,8100 School Rd.,Eden Prairie,MN,55344,,,,,,
College of Dupage,Stadium Turf,Chicago Magic SC,"College Dr., Glen Ellyn, IL 60137",,,,,,,,,
Commissioners  Park,Turf and Grass,Eclipse,"3704 111th St., Naperville, IL  60654",,,,,,,,,
Comporium Athletic Park,,,"1300 Spratt St., Fort Mill, SC 29715",,,,,,,,,
Connelly Park,#17 & #18,Soccers FC,"Connelly Park, 64 Azalea Dr, Schaumburg, IL 60173 (possibly 74 Azalea)",,,,,,,,,
Conway Park,,,,,,,,,,,,
Creve Coeur Park (CCP),FIELD MAP,,"350 Creve Coeur Mill Rd, ",Maryland Heights,MO,63043,"https://www.google.com/maps/dir//creve+coeur+park+soccer+complex/@38.7159332,-90.5261584,13z/data=!3m1!4b1!4m8!4m7!1m0!1m5!1m1!1s0x87df2c3596ee59bf:0xa75e5ac2d77dcd50!2m2!1d-90.491139!2d38.7159384",,,,,
Croatian Soccer Park,Croatian Field Map,Croatian Eagles,9140 S 76th Street ,Franklin,WI,53132,"https://www.google.com/maps/dir//Croatian+Eagles+Soccer+Club,+9140+S+76th+St,+Franklin,+WI+53132/@42.8779281,-88.01698,15.92z/data=!4m9!4m8!1m0!1m5!1m1!1s0x880512824f51a657:0xd2daec44d5526e84!2m2!1d-88.0065961!2d42.8788218!3e0",Croatian Field Map,"https://static.wixstatic.com/media/bf92df_530ee876113a4ee894c2f1900c254d5a~mv2.jpg/v1/fill/w_921,h_608,al_c,q_85,usm_0.66_1.00_0.01/bf92df_530ee876113a4ee894c2f1900c254d5a~mv2.jpg",,,
Crown Pointe SC,,Milinimum Elite SC,"1401 E North St, ",Crown Point,IN,46307,"https://www.google.com/maps/dir//Crown+Point+Sports+Complex/@41.4155352,-87.3874995,13z/data=!4m9!4m8!1m0!1m5!1m1!1s0x8811efd1f7413039:0xaa273fcb26fc1b6c!2m2!1d-87.3462142!2d41.4155426!3e0?entry=ttu",,,,,
Danny Cunniff Park,,Chicago Magic SC,"2700 Trail Way, Highland Park, IL 60035",,,,,,,,,
De Pere Southwest Park,,DePere Select Soccer," 2472 lawrence Drive,",De Pere,WI,54115,"https://www.google.com/maps/dir//Southwest+Park,+2472+Lawrence+Dr,+De+Pere,+WI+54115/@44.4056157,-88.1352714,17z/data=!4m9!4m8!1m0!1m5!1m1!1s0x8802ffb4ebd41577:0x2d50689b25cc8906!2m2!1d-88.1309689!2d44.4058876!3e0",,,,,
Delafield Sports Commons,,FCW West,"W302N1208 Maple Ave., Delafield, WI 53018",,,,,,,,,
Dowling Park Athletic SC,Field #01,Indiana Elite,"3031 JF Mahoney Drive, Hammond, IN ",,,,,,,,,
Duck Pond,#1,Southern Lakes Rush (delavan/geneva),"300 Wild Duck Rd, Fontana-On-Geneva Lake, WI 53125",,,,,,,,,
Eau Claire SP,FIELD MAP,Eau Claire Soccer Club,"3456 Craig Rd, Eau Claire, Wisconsin 54701",,,,,,,,,
Edgewater College,,Madison 56ers,"1000 Edgewood College Drive, WI 53711",,,,,,,,,
Elite Sports Complex,Grass,Indiana Elite,"2945 Samuleson Rd., Portage, IN 46386",,,,,,,,,
Elkhorn Area High School (EAHS),Soccer Field,Elkhorn SC,"482 E Geneva St,",Elkhorn,WI,53121,"https://www.google.com/maps/dir//Elkhorn+Area+High+School,+482+E+Geneva+St,+Elkhorn,+WI+53121/@42.6715713,-88.5358114,16z/data=!4m9!4m8!1m0!1m5!1m1!1s0x8805f246130dd12b:0x5821e653c5bac8ae!2m2!1d-88.531434!2d42.6715713!3e0",,,,,
Elm Grove Park (EGP),North #3,Elmbrook United,13600 Juneau Blvd.,Elm Grove,WI,53122,"https://www.google.com/maps/place/13600+Juneau+Blvd,+Elm+Grove,+WI+53122/@43.0466657,-88.085029,17z/data=!3m1!4b1!4m5!3m4!1s0x8805042c2c5a7b01:0x60745ed384a235e5!8m2!3d43.0466657!4d-88.0828403",,,,,
Endeavor Health Performance Center,,Chicago Fire Juniors,"1403 E. 14th St.,",Chicago,IL,60605,,,,,,
Endicott Park,,Elmbrook United,"435 S Calhoun Rd, Brookfield, WI 53045",,,,,,,,,
Estabrook Park,,,4400 N. Estabrook Dr.,Shorewood,WI,53211,,,,,,
Ewald SP,FIELD MAP,Strike FC,Monterey Park N80W38226 McMahon Road ,Oconomowoc,WI,53066,"https://www.google.com/maps/dir/''/ewald+soccer+park/@43.1656021,-88.5734959,12z/data=!4m8!4m7!1m0!1m5!1m1!1s0x88043533ecb0b2b1:0xbeccb03a6634b704!2m2!1d-88.5034561!2d43.1656235",,,,,
FC Wisconsin,Field Map,,"W140N10022 Fond Du Lac Ave, Germantown, WI 53022",,,,,,,,,
Fish Hatchery Sports Complex,,,,,,,,,,,,
FIELD OF DREAMS,Field of Dreams,W 7124 W. Wisconsin,"W 7124 W. Wisconsin, Greenville, WI 54942",WI,,,54942,"<p>Located on Hwy 96 just West of Hwy 76 in Greenville.</p>
 
 �",,,,
Fond du Lac SC,FIELD MAP F21,Fond du Lac SA,402 Campus Drive,Fond du Lac,WI,54935,"https://www.google.com/maps/dir//402+Campus+Dr,+Fond+du+Lac,+WI+54935/@43.7934074,-88.4119864,17z/data=!4m9!4m8!1m0!1m5!1m1!1s0x88038a1a1686c8a5:0xd57d6e9574142b22!2m2!1d-88.4097977!2d43.7934074!3e0",,,,,
FORT HOWARD PARK,Fort Howard Park,,"2185 Crary Street, Ashwaubenon, WI 54304",WI,,,54304,�,,,,
Franklin Central HS,,,"6215 S. Franklin Rd, Indianapolis, IN 46259",,,,,,,,,
Franklin High School,,AC Toros,"8222 S. 51st St., Franklin, WI 53132",,,,,,,,,
Franksville Park,,"Ace Soccer Club-Milwaukee, Racine, Kenosha",9416 Northwestern Ave,Franksville,WI,53126,"https://www.google.com/maps/dir//9416+Northwestern+Ave,+Franksville,+WI+53126/@42.7501177,-87.8983453,14.9z/data=!4m9!4m8!1m0!1m5!1m1!1s0x8805697a5f7fc617:0xfd1270c22c7fad2f!2m2!1d-87.9025241!2d42.7583797!3e0?entry=ttu",no field map,,,,
FREEDOM VFW MEMORIAL PARK,Freedom VFW Memorial Park,,"W1992 Industrial Dr, Kaukauna, WI 54130",WI,,,54130,"<p>Entrance to soccer fields is just west of this address.</p>
 
 �",,,,
