DATE,TIME-S,TIME-E,FCW TEAM,VS.   ,,LOCATION,FIELD,,EVENT
"Sunday, September 7, 2025",12:00 PM,,12UB   Pre-ECNL,Roadrunners,,FC Wisconsin sf,Hegarty #02,,Pre-ECNL League game
"Saturday, September 13, 2025",2:00 PM,,12UB   Pre-ECNL,Chicago SA,,Chicago,,,Pre-ECNL League game
"Sunday, September 21, 2025",,,12UB   Pre-ECNL,Rockford Raptors,,Sportscore II,,,Pre-ECNL League game
"Sunday, September 28, 2025",,,12UB   Pre-ECNL,Bloomingdale,,@ Bloomingdale,,,Pre-ECNL League game
"Saturday, October 4, 2025",3:30 PM,,12UB   Pre-ECNL,Chicago City,,FC Wisconsin sf,Hegarty #02,,Pre-ECNL League game
"Sunday, October 5, 2025",,,12UB   Pre-ECNL,Chicago Inter,,Chicago Inter,,,Pre-ECNL League game
"Saturday, October 18, 2025",10:30 AM,,12UB   Pre-ECNL,Crystal Lake Force,,FC Wisconsin sf,Hegarty #02,,Pre-ECNL League game
"Sunday, October 19, 2025",,,12UB   Pre-ECNL,Libertyville,,Libertyville SC,,,Pre-ECNL League game
"Saturday, October 25, 2025",,,12UB   Pre-ECNL,Chicago Magic,,FC Wisconsin sf,Hegarty #02,,Pre-ECNL League game
,,,,,,,,,
"Saturday, March 21, 2026",,,12UB   Pre-ECNL,Crystal Lake Force,,Crystal Lake,,,Pre-ECNL League game
"Sunday, March 22, 2026",12:00 PM,,12UB   Pre-ECNL,Rockford Raptors,,FC Wisconsin sf,Hegarty #02,,Pre-ECNL League game
"Saturday, March 28, 2026",,,12UB   Pre-ECNL,Chicago City,,Chicago City,,,Pre-ECNL League game
"Sunday, March 29, 2026",10:30 AM,,12UB   Pre-ECNL,Chicago Inter,,FC Wisconsin sf,Hegarty #02,,Pre-ECNL League game
"Sunday, April 12, 2026",10:30 AM,,12UB   Pre-ECNL,Bloomingdale,,FC Wisconsin sf,Hegarty #02,,Pre-ECNL League game
"Saturday, April 25, 2026",,,12UB   Pre-ECNL,Indiana Elite,,Indiana Elite,,,Pre-ECNL League game
"Sunday, April 26, 2026",,,12UB   Pre-ECNL,Chicago Magic,,Chicago Magic,,,Pre-ECNL League game
"Saturday, May 2, 2026",2:15 PM,,12UB   Pre-ECNL,Chicago SA,,FC Wisconsin sf,Hegarty #02,,Pre-ECNL League game
"Sunday, May 3, 2026",2:00 PM,,12UB   Pre-ECNL,Libertyville,,FC Wisconsin sf,Hegarty #02,,Pre-ECNL League game
"Saturday, May 9, 2026",,,12UB   Pre-ECNL,Roadrunners,,Roadrunners,,,Pre-ECNL League game
,,,,,,,,,
1 Mondays,5:00 PM,6:30 PM,12UB  Pre- ECNL Black,,,FC Wisconsin sf,Sarah Hegarty #02,,Training
2 Tuesdays,5:00 PM,6:30 PM,12UB  Pre- ECNL Black,,,FC Wisconsin sf,Val Olla #01,,Training
4 Thursdays,5:00 PM,6:30 PM,12UB  Pre- ECNL Black,,,FC Wisconsin sf,Sarah Hegarty #02,,Training
,,,,,,,,,
"Friday, August 22, 2025",,,12UB  Pre- ECNL Black,,,Anderson Park,,,Tournament-Kenosha Battle of the Border
"Saturday, August 23, 2025",,,12UB  Pre- ECNL Black,,,Anderson Park,,,Tournament-Kenosha Battle of the Border
"Sunday, August 24, 2025",,,12UB  Pre- ECNL Black,,,Anderson Park,,,Tournament-Kenosha Battle of the Border
"Saturday, October 18, 2025",,,12UB  Pre- ECNL Black,,,Reddan Park,,,Tournament- Ice Age Classic
"Sunday, October 19, 2025",,,12UB  Pre- ECNL Black,,,Reddan Park,,,Tournament- Ice Age Classic
,,,,,,,,,
1 Mondays,5:00 PM,6:30 PM,12UB Pre-ECNL Grey,,,FC Wisconsin sf,Sarah Hegarty #02,,Training
2 Tuesdays,5:00 PM,6:30 PM,12UB Pre-ECNL Grey,,,FC Wisconsin sf,Val Olla #01,,Training
4 Thursdays,5:00 PM,6:30 PM,12UB Pre-ECNL Grey,,,FC Wisconsin sf,Sarah Hegarty #02,,Training
,,,,,,,,,
"Friday, September 26, 2025",,,12UB Pre-ECNL Grey,,,Croatian Park,,,Tournament-Croatian Eagles Festival
"Saturday, September 27, 2025",,,12UB Pre-ECNL Grey,,,Croatian Park,,,Tournament-Croatian Eagles Festival
"Sunday, September 28, 2025",,,12UB Pre-ECNL Grey,,,Croatian Park,,,Tournament-Croatian Eagles Festival
,,,,,,,,,
"Friday, October 3, 2025",,,12UB Pre-ECNL Grey,,,SCORe,,,Tournament-Racine Lighthouse Classic
"Saturday, October 4, 2025",,,12UB Pre-ECNL Grey,,,SCORe,,,Tournament-Racine Lighthouse Classic
"Sunday, October 5, 2025",,,12UB Pre-ECNL Grey,,,SCORe,,,Tournament-Racine Lighthouse Classic
,,,,,,,,,
2 Tuesdays,6:30 PM,8:00 PM,13UB ECNL,,,FC Wisconsin sf,Val Olla #01,,Training
3 Wednesdays,6:30 PM,8:00 PM,13UB ECNL,,,FC Wisconsin sf,Val Olla #01,,Training
4 Thursdays,6:30 PM,8:00 PM,13UB ECNL,,,FC Wisconsin sf,Sarah Hegarty #02,,Training
,,,,,,,,,
"Friday, September 12, 2025",,,13UB ECNL,,,St. Louis,,,"Tournament-ECNL Showcase, St. Louis"
"Saturday, September 13, 2025",,,13UB ECNL,,,St. Louis,,,"Tournament-ECNL Showcase, St. Louis"
"Sunday, September 14, 2025",,,13UB ECNL,,,St. Louis,,,"Tournament-ECNL Showcase, St. Louis"
,,,,,,,,,
"Saturday, October 11, 2025",10:00 AM,,13UB ECNL,Rockford Raptors,,Sportscore II,,,ECNL League
"Saturday, October 12, 2024",,,13UB ECNL,Eclipse,,Chicago,,,ECNL League
,,,,,,,,,
"Saturday, March 14, 2026",,,13UB ECNL,Chicago Inter,,Chicago,,,ECNL League
"Sunday, March 15, 2026",,,13UB ECNL,Indiana Elite,,Chicago,,,ECNL League
"Saturday, March 21, 2026",,,13UB ECNL,Rockford Raptors,,FC Wisconsin sf,,,ECNL League
"Sunday, March 22, 2026",,,13UB ECNL,Eclipse,,FC Wisconsin sf,,,ECNL League
"Saturday, April 18, 2026",,,13UB ECNL,St. Croix,,MN,,,ECNL League
"Sunday, April 19, 2026",,,13UB ECNL,MTA,,MN,,,ECNL League
"Saturday, April 25, 2026",,,13UB ECNL,Chicago Magic,,FC Wisconsin sf,,,ECNL League
"Saturday, May 2, 2026",,,13UB ECNL,Indiana Elite,,FC Wisconsin sf,,,ECNL League
"Sunday, May 3, 2026",,,13UB ECNL,Chicago Inter,,FC Wisconsin sf,,,ECNL League
"Saturday, May 16, 2026",,,13UB ECNL,MTA,,FC Wisconsin sf,,,ECNL League
"Sunday, May 17, 2026",,,13UB ECNL,St. Croix,,FC Wisconsin sf,,,ECNL League
"Saturday, May 30, 2026",,,13UB ECNL,Chicago Magic,,Chicago,,,ECNL League
,,,,,,,,,
1 Mondays,6:30 PM,8:00 PM,13UB RL,,,FC Wisconsin sf,Sarah Hegarty #02,,Training
3 Wednesdays,6:30 PM,8:00 PM,13UB RL,,,FC Wisconsin sf,Val Olla #01,,Training
4 Thursdays,5:00 PM,6:30 PM,13UB RL,,,FC Wisconsin sf,Sarah Hegarty #02,,Training
,,,,,,,,,
"Friday, August 22, 2025",,,13UB ECNL RL,,,Anderson Park,,,Tournament-Kenosha Battle of the Border
"Saturday, August 23, 2025",,,13UB ECNL RL,,,Anderson Park,,,Tournament-Kenosha Battle of the Border
"Sunday, August 24, 2025",,,13UB ECNL RL,,,Anderson Park,,,Tournament-Kenosha Battle of the Border
,,,,,,,,,
"Saturday, September 6, 2025",10:00 AM,,13UB ECNL RL,WIUFC,,Appleton,,,NL P2 League Game
"Sunday, September 7, 2025",3:30 PM,,13UB ECNL RL,NSU,,PWSB,Field #05,,NL P2 League Game
"Saturday, September 13, 2025",9:00 AM,,13UB ECNL RL,Croatian Eagles,,FC Wisconsin sf,,,NL P2 League Game
"Sunday, September 14, 2025",,,13UB ECNL RL,Libertyville,,Libertyville SC,,,NL P2 League Game
"Saturday, September 20, 2025",2:00 PM,,13UB ECNL RL,Chicago Inter,,Chicago,,,ECNL RL League Game
"Sunday, September 21, 2025",,,13UB ECNL RL,Indiana Elite,,Chicago,,,ECNL RL League Game
"Saturday, October 4, 2025",3:30 PM,,13UB ECNL RL,EBU,,FC Wisconsin sf,,,NL P2 League Game
"Sunday, October 5, 2025",,,13UB ECNL RL,Chicago Magic,,Chicago,,,ECNL RL League Game
"Saturday, October 11, 2025",,,13UB ECNL RL,Rockford Raptors,,Sportscore II,,,NL P2 League Game
"Sunday, October 12, 2025",9:00 AM,,13UB ECNL RL,Rockford Raptors,,FC Wisconsin sf,,,ECNL RL League Game
"Saturday, October 18, 2025",9:00 AM,,13UB ECNL RL,Madison 56ers,,FC Wisconsin sf,,,NL P2 League Game
"Saturday, November 1, 2025",2:30 PM,,13UB ECNL RL,FC 1 Academy,,FC Wisconsin sf,,,NL P2 League Game
"Sunday, November 2, 2025",12:00 PM,,13UB ECNL RL,Chicago Inferno,,FC Wisconsin sf,,,NL P2 League Game
,,,,,,,,,
"Sunday, March 22, 2026",,,13UB ECNL RL,Chicago Magic,,FC Wisconsin sf,,,ECNL RL League Game
"Saturday, April 18, 2026",,,13UB ECNL RL,St. Croix,,FC Wisconsin sf,,,ECNL RL League Game
